Rk,Player,GameNum,GameWin,AcePer,firstinPer,firstwinPer,secondwinPer,PtsServe,Hard_AcePer,Hard_firstinPer,Hard_firstwinPer,Hard_secondwinPer,Hard_PtsServe,Clay_AcePer,Clay_firstinPer,Clay_firstwinPer,Clay_secondwinPer,Clay_PtsServe,Grass_AcePer,Grass_firstinPer,Grass_firstwinPer,Grass_secondwinPer,Grass_PtsServe,ImgLink,D,E,ImgData
1,Rafael Nadal [ESP],53,73.60%,3.00%,70.50%,68.50%,52.80%,6.3,3.30%,67.80%,68.20%,51.70%,6.4,2.50%,73.80%,68.90%,54.40%,6.2,,,,,,https://financialtribune.com/sites/default/files/field/image/17january/16_nadal_0.jpeg,1,1,1.png
2,Roger Federer [SUI],28,75.00%,10.90%,62.40%,79.90%,56.30%,5.8,12.00%,61.60%,80.40%,54.80%,5.5,5.00%,60.70%,71.90%,60.60%,5.9,11.90%,63.40%,81.60%,56.10%,5.9,https://upload.wikimedia.org/wikipedia/commons/5/5d/The_Mighty_Federer_cropped.jpg,3,1,2.png
3,Marin Cilic [CRO],73,67.10%,13.60%,55.40%,79.30%,53.80%,6,13.40%,55.00%,78.50%,54.90%,6,9.90%,54.60%,77.60%,43.70%,6.5,17.70%,58.00%,83.90%,56.00%,5.9,https://ausopen.com/sites/default/files/styles/690x690/public/201801/21/t_cilic_r4_mca_21012018_01.jpg?itok=5vKTTTlN,5,1,3.png
4,Alexander Zverev [GER],68,64.70%,7.50%,61.50%,71.50%,50.60%,6.5,8.20%,61.80%,72.30%,51.00%,6.5,5.30%,61.30%,68.70%,50.70%,6.5,9.70%,60.70%,74.70%,48.80%,6.5,http://cdn.24.co.za/files/Cms/General/d/4087/4df9cac0681040178a505627435712e6.jpg,7,1,4.png
5,Grigor Dimitrov [BUL],65,60.00%,6.90%,64.00%,72.20%,52.40%,6.3,7.20%,63.10%,72.80%,53.30%,6.3,5.50%,68.20%,65.90%,50.20%,6.3,6.00%,65.60%,77.30%,47.00%,6,https://www.grigor-dimitrov.com/pic/news/thumb/grigor-dimitrov-australianopen-2018-pic03.jpg,9,1,5.png
6,Juan Martin Del Potro [ARG],44,72.70%,9.50%,64.50%,76.30%,52.80%,6,9.80%,63.40%,76.50%,53.30%,6,6.60%,66.80%,71.60%,43.80%,6.6,9.80%,67.50%,78.00%,56.30%,5.7,http://cdn.24.co.za/files/Cms/General/d/6555/3a80a9a93af04618ae3f97a8f0d71577.jpg,11,1,6.png
7,Dominic Thiem [AUT],82,70.70%,7.60%,61.50%,73.90%,54.10%,6.1,8.20%,62.40%,73.90%,52.90%,6,5.90%,61.30%,72.10%,54.80%,6.3,11.50%,58.40%,80.10%,56.20%,6.1,https://upload.wikimedia.org/wikipedia/commons/d/d7/Thiem_RG16_%2811%29_%2827127050690%29.jpg,13,1,7.png
8,Kevin Anderson [RSA],38,44.70%,16.40%,59.30%,77.10%,52.50%,6.3,16.60%,57.20%,76.70%,53.70%,6.4,11.50%,64.90%,72.50%,47.90%,6.4,20.50%,63.20%,83.80%,50.60%,5.9,http://cdn.24.co.za/files/Cms/General/d/6894/d0121ffc675e4c0ea10c1bd193281d3f.jpg,15,1,8.png
9,John Isner [USA],54,61.10%,25.60%,69.40%,82.00%,55.10%,6,25.70%,69.00%,82.30%,55.60%,5.8,22.10%,67.10%,80.90%,52.00%,6.5,29.60%,73.90%,82.30%,58.10%,6.2,http://www.tennisworldusa.org/imgb/21656/atp-atlanta-john-isner-wins-battle-of-americans-.jpg,17,1,9.png
10,David Goffin [BEL],74,66.20%,6.40%,59.30%,71.90%,50.10%,6.3,6.50%,59.40%,72.60%,48.60%,6.4,6.00%,59.30%,69.80%,51.70%,6.2,7.40%,58.70%,72.80%,55.20%,6.2,http://www.atpworldtour.com/-/media/tennis/players/head-shot/2018/goffin_head_ao18.png,19,1,10.png
11,Lucas Pouille [FRA],56,60.70%,9.50%,55.10%,74.40%,50.80%,6.4,10.40%,54.90%,75.10%,50.10%,6.4,5.90%,54.40%,70.60%,52.60%,6.6,11.80%,56.80%,77.60%,50.30%,6.2,https://media.gettyimages.com/photos/lucas-pouille-of-france-celebrates-his-third-round-victory-over-of-picture-id841652070?s=612x612,1,3,11.png
12,Pablo Carreno Busta [ESP],67,61.20%,6.10%,61.60%,70.40%,51.60%,6.2,6.20%,61.00%,70.30%,53.90%,6.3,6.00%,61.80%,71.00%,49.60%,6.2,5.80%,68.40%,65.10%,40.80%,6.7,https://www.atpworldtour.com/-/media/tennis/players/gladiator/2017/carrenobusta_fullao17.png,3,3,12.png
13,Novak Djokovic [SRB],74,87.80%,5.40%,64.90%,73.50%,56.00%,6.3,6.10%,63.50%,74.80%,55.70%,6.2,3.30%,68.50%,70.20%,57.10%,6.2,5.90%,65.70%,73.90%,54.30%,6.8,http://www.atpworldtour.com/-/media/tennis/players/gladiator/2018/djokovic_full_ao18.png,5,3,13.png
14,Sam Querrey [USA],51,54.90%,16.00%,58.50%,79.90%,51.60%,6.1,15.00%,56.40%,78.80%,50.40%,6.3,14.70%,61.60%,76.40%,50.80%,6.1,18.80%,61.00%,84.20%,54.70%,5.9,https://www.atpworldtour.com/-/media/tennis/players/gladiator/2017/querrey-player-photo-fullbody.png,7,3,14.png
15,Diego Sebastian Schwartzman [ARG],34,50.00%,3.00%,61.10%,66.00%,49.70%,6.5,4.10%,58.00%,67.90%,50.40%,6.6,2.20%,63.40%,64.40%,50.00%,6.4,1.10%,66.70%,65.50%,41.40%,6,https://upload.wikimedia.org/wikipedia/commons/4/4b/Diego_Sebastian_Schwartzman_%2834038054036%29.jpg,9,3,15.png
16,Jack Sock [USA],58,63.80%,8.50%,58.10%,74.80%,53.80%,6.2,9.40%,58.10%,75.30%,54.00%,6.1,5.50%,56.60%,73.00%,51.90%,6.5,10.00%,61.60%,76.60%,58.80%,6.1,http://www.atpworldtour.com/-/media/tennis/players/gladiator/2018/sock_full_ao18.png,11,3,16.png
17,Roberto Bautista Agut [ESP],71,67.60%,4.20%,65.50%,69.60%,53.40%,6.5,4.30%,64.90%,70.80%,53.30%,6.3,3.80%,68.00%,65.40%,51.00%,6.6,3.70%,64.70%,68.70%,59.20%,7.8,http://cdn.24.co.za/files/Cms/General/d/4445/c7df0f32434f41bd890912f29ff14da6.jpg,13,3,17.png
18,Tomas Berdych [CZE],59,66.10%,10.30%,57.40%,78.10%,50.80%,6.2,11.60%,56.80%,78.50%,50.70%,6.3,6.10%,56.30%,73.70%,52.40%,6.1,9.80%,61.50%,80.90%,49.10%,6,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Berdych_WM17_%2849%29_%2835347495174%29.jpg/220px-Berdych_WM17_%2849%29_%2835347495174%29.jpg,15,3,18.png
19,Hyeon Chung [KOR],21,38.10%,3.50%,66.70%,66.30%,50.90%,6.3,3.90%,64.30%,65.80%,51.90%,6.2,3.00%,70.60%,66.90%,49.10%,6.4,2.90%,59.50%,63.80%,53.20%,6.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAHnh6gPIROVqTKoIOdKJTJoFHb9jO2zaLHlwfHPRBu15DuFHylQ,17,3,19.png
